NIMI;ALKUPERÄISNIMI;ENSI-ILTA;KUMULATIIVISET KATSOJAT;LEVITTÄJÄ;MAANIMI
Ihmisen pojat;Children of Men;5.1.2007;8 902;Nordisk Film Theatrical Distribution Oy;USA-ENGLANTI
Rocky Balboa;Rocky Balboa;5.1.2007;41 509;FS Film Oy;USA
The Prestige;The Prestige;5.1.2007;11 287;Sandrew Metronome Dist.;USA-ENGLANTI
The Science of Sleep;La Science des rêves;5.1.2007;2 548;FS Film Oy;RANSKA-ITALIA
Musta Dahlia;The Black Dahlia;29.12.2006;18 647;Scanbox Finland Oy;SAKSAN -USA
Aidosti outoa;Stranger Than Fiction;22.12.2006;11 934;Nordisk Film Theatrical Distribution Oy;USA
Déjà vu;Déjà vu;22.12.2006;51 620;The Walt Disney Company Nordic;USA
Holiday;The Holiday;22.12.2006;91 247;Finnkino / United International Pictures;USA
Pan's Labyrinth;El Laberinto del Fauno;22.12.2006;50 709;Cinema Mondo Oy;USA-ESPANJA-MEKSIKO
Rock´n Roll Never Dies;Rock´n Roll Never Dies;22.12.2006;9 859;FS Film Oy;SUOMI
Silmänkääntäjä;The Illusionist;22.12.2006;13 715;Nordisk Film Theatrical Distribution Oy;TSEKKI-USA
Eragon;Eragon;15.12.2006;78 936;FS Film Oy;USA
Suden arvoitus;Suden arvoitus;15.12.2006;106 174;Nordisk Film Theatrical Distribution Oy;SUOMI
Happy Feet;Happy Feet;8.12.2006;53 268;Sandrew Metronome Dist.;AUSTRALIA-USA
Sano että rakastat mua;Säg att du älskar mig;8.12.2006;7 436;Future Film;RUOTSI
Tenacious D: maailman paras rokkibändi;Tenacious D: The Pick of Destiny;8.12.2006;10 607;FS Film Oy;USA
Isiemme liput;Flags of Our Fathers;1.12.2006;3 973;Sandrew Metronome Dist.;USA
Matkalla Beetlehemiin;The Nativity Story;1.12.2006;7 894;FS Film Oy;USA
Pianistin sivunkääntäjä;LaTourneuse de pages;1.12.2006;27 120;Cinema Mondo Oy;RANSKA
Virran viemaa;Flushed Away;1.12.2006;59 965;Finnkino / United International Pictures;USA-ENGLANTI
Casino Royale;Casino Royale;24.11.2006;501 246;Nordisk Film Theatrical Distribution Oy;ENGLANTI-USA
Colour Me Kubrick;Colour Me Kubrick: A True...ish Story;24.11.2006;1 252;Nordisk Film Theatrical Distribution Oy;RANSKA-ENGLANTI
Little Miss Sunshine;Little Miss Sunshine;24.11.2006;22 661;FS Film Oy;USA
Saw III;Saw III;24.11.2006;19 704;Scanbox Finland Oy;USA
Shortbus;Shortbus;24.11.2006;1 859;Future Film;USA
Babel;Babel;17.11.2006;52 146;Nordisk Film Theatrical Distribution Oy;USA-MEKSIKO
Free Jimmy;Free Jimmy;17.11.2006;2 449;Cinema Mondo Oy;ENGLANTI-NORJA
Step Up;Step Up;17.11.2006;9 522;FS Film Oy;USA
Valkoinen kaupunki;Valkoinen kaupunki;17.11.2006;5 873;The Walt Disney Company Nordic;SUOMI
A Good Year - Mainio vuosi;A Good Year;10.11.2006;28 420;FS Film Oy;USA
Karvakamut;Open Season;10.11.2006;41 191;Nordisk Film Theatrical Distribution Oy;USA
Restart;Restart;10.11.2006;260;Bio Rex Cinemas;TSEKKI-SUOMI
The Departed;The Departed;10.11.2006;55 218;Sandrew Metronome Dist.;USA
Borat;Borat;3.11.2006;116 004;FS Film Oy;USA
Hämärän vartija;A Scanner Darkly;3.11.2006;3 078;Sandrew Metronome Dist.;USA
Kauna 2;The Grudge 2;3.11.2006;25 290;Nordisk Film Theatrical Distribution Oy;USA
Marie Antoinette;Marie Antoinette;3.11.2006;50 241;Nordisk Film Theatrical Distribution Oy;USA-RANSKA-JAPANI
Lonely Hearts;Lonely Hearts;27.10.2006;3 277;Scanbox Finland Oy;USA
Muiden elämä;Das Leben der Anderen;27.10.2006;22 798;Sandrew Metronome Dist.;SAKSA
Sinä, minä ja Dupree;You, Me and Dupree;27.10.2006;9 420;Finnkino / United International Pictures;USA
The Guardian - meripelastaja;The Guardian;27.10.2006;11 076;The Walt Disney Company Nordic;USA
Aivan villit;The Wild;20.10.2006;34 915;The Walt Disney Company Nordic;USA
Backstage;Backstage;20.10.2006;635;Cinema Mondo Oy;RANSKA
Jackass numero kaksi;Jackass Number Two;20.10.2006;7 820;Finnkino / United International Pictures;USA
Kalteva torni;Kalteva torni;20.10.2006;80 007;The Walt Disney Company Nordic;SUOMI
Alex Rider & Stormbreaker;Alex Rider & Stormbreaker;13.10.2006;7 452;Scanbox Finland Oy;SAKSA-USA-UK
Grizzly Man;Grizzly Man;13.10.2006;3 341;Cinema Mondo Oy;USA
Jadesoturi;Jadesoturi;13.10.2006;83 201;Sandrew Metronome Dist.;SUOMI-KIINA-VIRO
Monsteritalo;Monster House;13.10.2006;1 023;Nordisk Film Theatrical Distribution Oy;USA
Tristram Shandy: Herrasmiehen paljastukset;Tristram Shandy: A Cock and Bull Story;13.10.2006;2 324;Future Film;ENGLANTI
Muurahaisten kauhu;The Ant Bully;6.10.2006;4 338;Sandrew Metronome Dist.;USA
Naapuri;Naboer;6.10.2006;572;Bio Rex Cinemas;NORJA-TANSKA-RUOTSI
Paholainen pukeutuu Pradaan;Devil Wears Prada, The;6.10.2006;125 010;FS Film Oy;USA
Suusta suuhun;Mun mot mun;6.10.2006;1 572;Cinema Mondo Oy;RUOTSI
World Trade Center;World Trade Center;6.10.2006;31 634;Finnkino / United International Pictures;USA
Fearless;Huo Yuan Jia;29.9.2006;4 451;Nordisk Film Theatrical Distribution Oy;HONGKONG-USA-KIINA
Klik!;Click;29.9.2006;36 053;Nordisk Film Theatrical Distribution Oy;USA
Naapurini Totoro;Tonari no Totoro;29.9.2006;45 244;Cinema Mondo Oy;JAPANI
Robert Altmanin huonot vitsit;A Prairie Home Companion;29.9.2006;1 122;Scanbox Finland Oy;USA
Ruokala Lokki;Kamome shokudo;29.9.2006;8 513;Sandrew Metronome Dist.;JAPANI-SUOMI
Snakes on a Plane;Snakes on a Plane;29.9.2006;9 598;FS Film Oy;USA
Lady in the Water;Lady in the Water;22.9.2006;7 100;Sandrew Metronome Dist.;USA
My Super Ex;My Super Ex-Girlfriend;22.9.2006;11 304;FS Film Oy;USA
Pariisi, rakkaudella;Paris, je t'aime;22.9.2006;14 269;Sandrew Metronome Dist.;RANSKA
Viattomat äänet;Voces inocentes;22.9.2006;898;Nordisk Film Theatrical Distribution Oy;MEKSIKO-USA
Yli aidan;Over the Hedge;22.9.2006;91 865;Finnkino / United International Pictures;USA
Epämiellyttävä totuus;An Inconvenient Truth;15.9.2006;18 336;Finnkino / United International Pictures;USA
Kirikou ja viidakon eläimet;Kirikou et les bêtes sauvages;15.9.2006;2 896;Scanbox Finland Oy;RANSKA-USA
Riisuttu mies;Riisuttu mies;15.9.2006;78 707;FS Film Oy;SUOMI
Keisarin salaisuus;Keisarin salaisuus;8.9.2006;13 080;Finnkino Oy;SUOMI
Leonard Cohen: I'm Your Man;Leonard Cohen: I'm Your Man;8.9.2006;2 110;Sandrew Metronome Dist.;USA
Thank You For Smoking;Thank You For Smoking;8.9.2006;11 653;Scanbox Finland Oy;USA
Angel-A;Angel-A;1.9.2006;1 039;Nordisk Film Theatrical Distribution Oy;RANSKA
Aquamarine;Aquamarine;1.9.2006;1 296;FS Film Oy;USA
Volver;Volver;1.9.2006;85 920;Sandrew Metronome Dist.;ESPANJA
Autot;Cars;25.8.2006;232 350;The Walt Disney Company Nordic;USA
The Sentinel - salaliitto;The Sentinel;25.8.2006;17 096;FS Film Oy;USA
Confetti;Confetti;18.8.2006;753;FS Film Oy;ENGLANTI
Unelmista totta - jos luoja suo;Om Gud vill;18.8.2006;966;Cinema Mondo Oy;RUOTSI
United 93;United 93;18.8.2006;33 294;Finnkino / United International Pictures;USA-ENGLANTI-RANSKA
Kaimaani;Il Caimano;11.8.2006;1 283;Cinema Mondo Oy;ESPANJA-RANSKA-ITALI
Miami Vice;Miami Vice;11.8.2006;93 132;Finnkino / United International Pictures;USA
Onni von Sopanen;Onni von Sopanen;11.8.2006;22 580;FS Film Oy;SUOMI
Days of Being Wild;A Fei jing juen;4.8.2006;4 987;Cinema Mondo Oy;HONG KONG
The Break-Up;The Break-Up;4.8.2006;44 800;Finnkino / United International Pictures;USA
Utelias Vili;Curious George;4.8.2006;19 782;The Walt Disney Company Nordic;USA
C.R.A.Z.Y;C.R.A.Z.Y;28.7.2006;833;Future Film;KANADA
Heartbreak Hotel;Heartbreak Hotel;28.7.2006;8 399;FS Film Oy;RUOTSI
Superman Returns;Superman Returns;28.7.2006;34 311;Sandrew Metronome Dist.;USA-AUSTRALIA
Brasileirinho;Brasileirinho;21.7.2006;981;Future Film;SVEITSI-SUOMI-BRASILIA
Istanbulin äänet;Crossing the bridge;21.7.2006;461;Future Film;SAKSA
Karvinen 2;Garfield: A Tail of Two Kitties;21.7.2006;115 375;FS Film Oy;USA
Metal - A Headbanger's Journey;Metal - A Headbanger's Journey;21.7.2006;1 158;Future Film;KANADA
Sutten valtakunta;L'Empire des loups;21.7.2006;1 596;Nordisk Film Theatrical Distribution Oy;RANSKA
Tupaantuliaiset;Travaux, on sait quand ça commence...;21.7.2006;2 221;Cinema Mondo Oy;ENGLANTI-RANSKA
Pirates of the Caribbean: kuolleen miehen kirstu;Pirates of the Caribbean: Dead Man's Chest;12.7.2006;458 833;The Walt Disney Company Nordic;USA
Aika lähteä;Le Temps qui reste;7.7.2006;2 241;Future Film;RANSKA
As Tears Go By;Wong gok ka moon;7.7.2006;1 857;Cinema Mondo Oy;HONG KONG
Melinda & Melinda;Melinda & Melinda;7.7.2006;120;FS Film Oy;USA
She's The Man;She's The Man;7.7.2006;32 956;Scanbox Finland Oy;USA
Silent Hill;Silent Hill;7.7.2006;34 602;Nordisk Film Theatrical Distribution Oy;RANSKA-USA-JAPANI-KANADA
Tapaus Punahilkka;Hoodwinked;7.7.2006;21 232;Sandrew Metronome Dist.;USA
FC Venus - Made in Germany;FC Venus;30.6.2006;564;Bio Rex Cinemas;SAKSA
16 Blocks;16 Blocks;30.6.2006;8 773;Scanbox Finland Oy;USA
Poseidon;Poseidon;28.6.2006;48 792;Sandrew Metronome Dist.;USA
Hurjapäät: Tokio Drift;The Fast and the Furious: Tokyo Drift;25.6.2006;41 374;Finnkino / United International Pictures;USA
Kun tuntematon soittaa;When a Stranger Calls;16.6.2006;4 257;Nordisk Film Theatrical Distribution Oy;USA
The Omen;The Omen;6.6.2006;18 221;FS Film Oy;USA
Rakkaat rikkaat ystävät;Friends with Money;2.6.2006;14 241;FS Film Oy;USA
Lucky Number Slevin;Lucky Number Slevin;26.5.2006;17 647;Scanbox Finland Oy;USA
X-Men: Viimeinen kohtaaminen;X-Men: The Last Stand;24.5.2006;60 855;FS Film Oy;USA
Da Vinci -koodi;The Da Vinci Code;19.5.2006;365 473;Nordisk Film Theatrical Distribution Oy;USA
Asterix ja viikingit;Astérix et les Vikings;12.5.2006;40 290;FS Film Oy;RANSKA-TANSKA
Poliisipiiri 36;36 Quai des Orfèvres;12.5.2006;865;Nordisk Film Theatrical Distribution Oy;RANSKA
Tie Guantanamoon;The Road to Guantanamo;12.5.2006;3 081;Sandrew Metronome Dist.;ENGLANTI
Alaston totuus;Where The Truth Lies;5.5.2006;1 074;Scanbox Finland Oy;KANADA-ENGLANTI-IRLANTI
M:I III - vaarallinen tehtävä III;Mission: Impossible III;5.5.2006;69 583;Finnkino / United International Pictures;USA
Valkoinen Masai;Die Weisse Massai;5.5.2006;11 549;FS Film Oy;SAKSA
Bandidas;Bandidas;28.4.2006;2 878;Nordisk Film Theatrical Distribution Oy;USA-MEKSIKO-RANSKA
Freedomland;Freedomland;28.4.2006;3 222;FS Film Oy;USA
Hamekyttä 2;Big Momma's House 2;28.4.2006;18 381;FS Film Oy;USA
Kun sydän lakka lyömästä;De battre mon coeur s'est arrêté;21.4.2006;6 306;Bio Rex Cinemas;RANSKA
Muuttohaluton poikamies;Failure to Launch;21.4.2006;8 365;The Walt Disney Company Nordic;USA
Running Scared;Running Scared;21.4.2006;1 417;Nordisk Film Theatrical Distribution Oy;USA-SAKSA
Lassie;Lassie;14.4.2006;9 265;FS Film Oy;USA-IRLANTI-RANSKA-UK
Lilla Jönssonligan och stjärnkuppen;Lilla Jönssonligan och stjärnkuppen;14.4.2006;976;FS Film Oy;RUOTSI
Scary Movie 4;Scary Movie 4;14.4.2006;46 038;The Walt Disney Company Nordic;USA
Basic Instinct 2;Basic Instinct 2;7.4.2006;13 541;FS Film Oy;USA-UK-SAKSA-ESPANJA
Don't Come Knocking;Don't Come Knocking;7.4.2006;5 814;Cinema Mondo Oy;SAKSA-RANSKA-USA
Elämä on I-ha-haa;Vinnare och fölorare;7.4.2006;760;Kinoscreen Illusion;RUOTSI-SUOMI
Fateless - ikuisesti merkitty;Sorstalanság;7.4.2006;592;Kamras Film Group;SAKSA-UK-UNKARI
The Hills Have Eyes;The Hills Have Eyes;7.4.2006;4 681;FS Film Oy;USA
Valkoinen kreivitär;The White Countess;7.4.2006;5 070;Nordisk Film Theatrical Distribution Oy;USA-SAKSA-UK-KIINA
Matador;Matador, The;1.4.2006;4 476;Scanbox Finland Oy;USA-SAKSA-IRLANTI
Viva Zapatero;Viva Zapatero;1.4.2006;352;Cinema Mondo Oy;ITALIA
Duudsonit elokuva;The Dudesons Movie;31.3.2006;32 320;FS Film Oy;SUOMI
Ice Age 2 Jäätikkö sulaa;Ice Age 2: The Meltdown;31.3.2006;272 379;FS Film Oy;USA
Inside Man;Inside Man;31.3.2006;27 660;The Walt Disney Company Nordic;USA
Romance & Cigarettes;Romance & Cigarettes;31.3.2006;684;Sandrew Metronome Dist.;USA
The Proposition;The Proposition;31.3.2006;5 805;Cinema Mondo Oy;AUSTRALIA-ISO-BRITANIA
Date Movie;Date Movie;24.3.2006;8 658;FS Film Oy;USA
Lapsi;L'enfant;24.3.2006;1 175;Future Film;BELGIA
Mami hoitaa;Keeping Mum;24.3.2006;6 567;Nordisk Film Theatrical Distribution Oy;ENGLANTI
The Libertine;The Libertine;24.3.2006;5 235;Scanbox Finland Oy;ENGLANTI
V niinkuin verikosto;V for Vendetta;24.3.2006;57 437;Sandrew Metronome Dist.;SAKSAN -USA
Kenen joukoissa seisot;Kenen joukoissa seisot;17.3.2006;13 717;Sandrew Metronome Dist.;SUOMI
Satumainen lastenvahti;Nanny McPhee;17.3.2006;16 377;The Walt Disney Company Nordic;USA-ENGLANTI-RANSKA
Casanova;Casanova;10.3.2006;13 539;The Walt Disney Company Nordic;USA
Palindromes;Palindromes;10.3.2006;3 977;Bio Rex Cinemas;USA
Syriana;Syriana;10.3.2006;18 368;Sandrew Metronome Dist.;USA
Tsotsi;Tsotsi;10.3.2006;3 398;Scanbox Finland Oy;ENGLANTI-ETELÄ-AFRIKKA
Vaaleanpunainen pantteri;The Pink Panther;10.3.2006;68 956;FS Film Oy;USA
Memoirs of a Geisha;Memoirs of a Geisha;3.3.2006;91 262;Nordisk Film Theatrical Distribution Oy;USA
Rent;Rent;3.3.2006;1 368;FS Film Oy;USA
Säämies;The Weather Man;3.3.2006;1 123;Nordisk Film Theatrical Distribution Oy;USA
Tiikeri ja lumi;La Tigre e la neve;3.3.2006;3 977;Nordisk Film Theatrical Distribution Oy;ITALIA
9. komppania;9-ya-Rota;3.3.2006;15 920;Scanbox Finland Oy;VENÄJÄ
Capote;Capote;24.2.2006;14 759;Nordisk Film Theatrical Distribution Oy;USA
Maailman nopein intiaani;The World's Fastest Indian;24.2.2006;5 953;Cinema Mondo Oy;UUSI SEELANTI
Mrs. Henderson esittää;Mrs. Henderson Presents;24.2.2006;1 332;Sandrew Metronome Dist.;ENGLANTI
Pavlovin koirat;Pavlovin koirat;24.2.2006;1 223;Scanbox Finland Oy;SUOMI
The New World;The New World;24.2.2006;17 621;FS Film Oy;USA
Bambi 2;Bambi 2;17.2.2006;74 537;The Walt Disney Company Nordic;USA
Good Night and Good Luck;Good Night and Good Luck;17.2.2006;10 897;Scanbox Finland Oy;USA
Kummelin Jackpot;Jackpot;17.2.2006;229 701;The Walt Disney Company Nordic;SUOMI
Oikeanlaista kemiaa;Prime;17.2.2006;16 914;Nordisk Film Theatrical Distribution Oy;USA
Transamerica;Transamerica;17.2.2006;8 238;Nordisk Film Theatrical Distribution Oy;USA
München;Munich;10.2.2006;29 278;Finnkino / United International Pictures;USA
Saippuaprinssi;Saippuaprinssi;10.2.2006;54 366;FS Film Oy;SUOMI
Laitakaupungin valot;Laitakaupungin valot;3.2.2006;38 507;Sandrew Metronome Dist.;SUOMI
Walk the Line;Walk the Line;3.2.2006;63 434;FS Film Oy;USA
Brokeback Mountain;Brokeback Mountain;27.1.2006;98 215;Sandrew Metronome Dist.;USA-KANADA
Pikku Kananen;Chicken Little;27.1.2006;128 210;The Walt Disney Company Nordic;USA
Taalat taskuun, Dick & Jane;Fun with Dick and Jane;27.1.2006;39 193;Nordisk Film Theatrical Distribution Oy;USA
Viikset;La Moustache;27.1.2006;3 173;Cinema Mondo Oy;RANSKA
Huhupuhetta;Rumor Has It...;20.1.2006;5 630;Sandrew Metronome Dist.;USA
Kätketty;Caché;20.1.2006;7 688;Future Film;RANSKA
Match Point;Match Point;20.1.2006;28 953;Scanbox Finland Oy;USA
Merijalkaväen mies;Jarhead;20.1.2006;13 858;The Walt Disney Company Nordic;USA
Unna ja Nuuk;Unna ja Nuuk;20.1.2006;56 173;FS Film Oy;SUOMI
Wallander: Mastermind;Wallander: Mastermind;20.1.2006;793;FS Film Oy;RUOTSI
Matti;Matti;13.1.2006;461 665;The Walt Disney Company Nordic;SUOMI
Treffit Drewn kanssa;My Date with Drew;13.1.2006;249;Sandrew Metronome Dist.;USA
Houkutus;Derailed;6.1.2006;9 532;Nordisk Film Theatrical Distribution Oy;USA
Saw 2;Saw 2;6.1.2006;19 491;Scanbox Finland Oy;USA
Yksi puhelu tullut;Chakushin ari;31.12.2005;133;Future Film;JAPANI
FC Venus;FC Venus;30.12.2005;237 784;Nordisk Film Theatrical Distribution Oy;SUOMI
Iberia;Iberia;30.12.2005;2 871;Kamras Film Group;ESPANJA
Rahantekijä;Two For The Money;30.12.2005;4 211;Nordisk Film Theatrical Distribution Oy;USA
Jäätävää satoa;The Ice Harvest;23.12.2005;751;Nordisk Film Theatrical Distribution Oy;USA
Narnian tarinat: Velho ja Leijona;The Chronicles of Narnia 1;23.12.2005;212 189;The Walt Disney Company Nordic;USA
Seitsemän miekkaa;Seven Swords;23.12.2005;1 405;Sandrew Metronome Dist.;KIINA
Ylpeys ja ennakkoluulo;Pride and Prejudice;23.12.2005;49 734;Finnkino / United International Pictures;ENGLANTI
Millions;Millions;16.12.2005;1 259;Finnkino Oy;ENGLANTI-USA
Perheen jalokivi;The Family Stone;16.12.2005;8 152;FS Film Oy;USA
Päivä ilman sotaa;Joyeux Noël;16.12.2005;2 678;Future Film;RANSKA
King Kong;King Kong;14.12.2005;124 405;The Walt Disney Company Nordic;USA
Neljä veljeä;Four Brothers;9.12.2005;1 803;The Walt Disney Company Nordic;USA
The Big White;The Big White;9.12.2005;978;Scanbox Finland Oy;USA
The Descent;The Descent;9.12.2005;4 060;FS Film Oy;ENGLANTI
Unelmä bändistä - Tjenare Kungen;Tjenare Kungen;9.12.2005;2 056;Sandrew Metronome Dist.;RUOTSI
Jospa se vain olisi totta;Just Like Heaven;2.12.2005;3 164;The Walt Disney Company Nordic;USA
Kiss, Kiss, Bang, Bang;Kiss, Kiss, Bang, Bang;2.12.2005;7 751;Sandrew Metronome Dist.;USA
Lupaus;Lupaus;2.12.2005;156 019;Nordisk Film Theatrical Distribution Oy;SUOMI
Pingviinien matka;LaMarche de l'empereur;2.12.2005;82 749;Cinema Mondo Oy;RANSKA-USA
Viiru ja Pesonen joulupuuhissa;Pettson & Findus: Tomtemaskinen;2.12.2005;60 089;FS Film Oy;RUOTSI
Domino;Domino;25.11.2005;3 305;Nordisk Film Theatrical Distribution Oy;USA
Pinnan alla;Into the Blue;25.11.2005;10 232;FS Film Oy;USA
Vaarallisia suhteita;Joseon namnyeo sangyeol ji sa;25.11.2005;1 777;Cinema Mondo Oy;KOREA
Vain koiraihmisille;Must Love Dogs;25.11.2005;1 665;Sandrew Metronome Dist.;USA
Ghost In The Shell 2: Innocence;Ghost In The Shell 2: Innocence;18.11.2005;2 517;Bio Rex Cinemas;JAPANI
Harry Potter ja liekehtivä pikari;Harry Potter and The Goblet of Fire;18.11.2005;400 876;Sandrew Metronome Dist.;ENGLANTI
Innocence - Viattomuus;Innocence;18.11.2005;6 851;Cinema Mondo Oy;BELGIA-RANSKA-ENGLAN
Lord of War;Lord of War;18.11.2005;25 206;Scanbox Finland Oy;USA
Mene, näe, elä;Va, vis et deviens;18.11.2005;523;Future Film;RANSKA
Pitkin tietä pieni lapsi;Pitkin tietä pieni lapsi;18.11.2005;1 866;FS Film Oy;SUOMI
Elizabethtown;Elizabethtown;11.11.2005;4 595;The Walt Disney Company Nordic;USA
Emily Rosen riivaaja;Exorcims of Emily Rose, The;11.11.2005;26 334;Nordisk Film Theatrical Distribution Oy;USA
Siniset sanat;Les Mots bleus;11.11.2005;909;Kamras Film Group;RANSKA
Sky High;Sky High;11.11.2005;289;The Walt Disney Company Nordic;USA
Doom;Doom;4.11.2005;10 472;The Walt Disney Company Nordic;USA
Kesken jäänyt elämä;An Unfinished life;4.11.2005;10 035;Nordisk Film Theatrical Distribution Oy;USA
Lainakengissä;In Her Shoes;4.11.2005;27 762;FS Film Oy;USA
Tim Burton's Corpse Bride;Tim Burton's Corpse Bride;4.11.2005;23 642;Sandrew Metronome Dist.;ENGLANTI
A History of Violence;A History of Violence;28.10.2005;22 928;FS Film Oy;KANADA-USA
Santapeikko;Five Children and It;28.10.2005;2 865;Scanbox Finland Oy;ENGLANTI-USA
Uskollinen puutarhuri;The Constant Gardener;28.10.2005;17 877;Sandrew Metronome Dist.;USA
Zorron legenda;The Legend of Zorro;28.10.2005;44 279;Nordisk Film Theatrical Distribution Oy;USA
Flightplan;Flightplan;21.10.2005;44 455;The Walt Disney Company Nordic;USA
Grimmin veljekset;Brothers Grimm;21.10.2005;18 363;Nordisk Film Theatrical Distribution Oy;USA
Kylläisyyden päiväsi ovat luetut;Die Fetten Jahre sind vorbei;21.10.2005;218;Kamras Film Group;SAKSA
Tyttö sinä olet tähti;Tyttö sinä olet tähti;21.10.2005;132 104;Finnkino Oy;SUOMI
Zozo;Zozo;21.10.2005;3 811;Sandrew Metronome Dist.;TANSKA-RUOTSI
Inside Deep Throat;Inside Deep Throat;14.10.2005;202;Nordisk Film Theatrical Distribution Oy;USA
Seksi, toivo ja rakkaus;Sex, hopp och kärlek;14.10.2005;1 518;Future Film;RUOTSI
Vaimoni on noita;Bewitched;14.10.2005;8 744;Nordisk Film Theatrical Distribution Oy;USA
Wallace & Gromit - Kanin kirous;Wallace & Gromit in The Curse of The Were Rabbit;14.10.2005;161 990;Finnkino / United International Pictures;ENGLANTI
Broken Flowers;Broken Flowers;7.10.2005;69 644;Nordisk Film Theatrical Distribution Oy;USA
Goal!;Goal!;7.10.2005;3 869;The Walt Disney Company Nordic;USA
Havanna Blues;Habana Blues;7.10.2005;3 593;Cinema Mondo Oy;KUUBA-ESPANJA
Valo;Valo;7.10.2005;52 333;FS Film Oy;SUOMI
Rautakolmonen;Bin-jip;30.9.2005;3 796;Cinema Mondo Oy;JAPANI
Yövartio;Nochnoi dozor;30.9.2005;11 343;FS Film Oy;VENÄJÄ
Äideistä parhain;Äideistä parhain;30.9.2005;219 020;Nordisk Film Theatrical Distribution Oy;SUOMI
Cinderella Man;Cinderella Man;23.9.2005;9 729;The Walt Disney Company Nordic;USA
Liikkuva linna;Hauru no ugoku shiro;23.9.2005;37 045;Cinema Mondo Oy;JAPANI
Manderlay;Manderlay;23.9.2005;2 813;Kamras Film Group;TANSKA-SAKSAN LTV
Sophie Scholl - viimeiset päivät;Sophie Scholl - Die Letzen Tage;23.9.2005;4 296;Future Film;SAKSA
The Dukes of Hazzard;The Dukes of Hazzard;23.9.2005;17 037;Sandrew Metronome Dist.;USA
Battle Royale II;Batoru rowaiaru II: Rekuiemu;19.9.2005;752;Sandrew Metronome Dist.;JAPANI
Jali ja suklaatehdas;Charlie and The Chocolate Factory;16.9.2005;115 131;Sandrew Metronome Dist.;USA
Yölento;Red Eye;16.9.2005;15 768;The Walt Disney Company Nordic;USA
Kaksipäisen kotkan varjossa;Kaksipäisen kotkan varjossa;9.9.2005;64 946;The Walt Disney Company Nordic;SUOMI
L'amore di Marja;L'amore di Marja;9.9.2005;7 941;FS Film Oy;ITALIA
Paradise Now;Paradise Now;9.9.2005;1 270;Kamras Film Group;SAKSA-RANSKA
Crash;Crash;2.9.2005;57 733;Scanbox Finland Oy;USA-SAKSA
Danny The Dog;Unleashed;2.9.2005;4 274;Nordisk Film Theatrical Distribution Oy;RANSKA-ENGLANTI
Kuokkavieraat;Wedding Crashers;2.9.2005;31 023;FS Film Oy;USA
Madagaskar;Madagascar;2.9.2005;233 164;The Walt Disney Company Nordic;USA
Factotum;Factotum;26.8.2005;2 611;FS Film Oy;NORJA
Game Over;Game Over;26.8.2005;16 449;FS Film Oy;SUOMI
It's All Gone Pete Tong;It's All Gone Pete Tong;26.8.2005;1 129;Future Film;ENGLANTI
The Skeleton Key;The Skeleton Key;26.8.2005;14 536;The Walt Disney Company Nordic;USA
Anoppi on pahin;Monster in Law;19.8.2005;25 769;FS Film Oy;USA
Lords of Dogtown;Lords of Dogtown;19.8.2005;2 523;Nordisk Film Theatrical Distribution Oy;USA
Riemukupla: Tankki täyteen;Herbie: Fully Loaded;19.8.2005;54 332;The Walt Disney Company Nordic;USA
The Island;The Island;19.8.2005;46 176;Sandrew Metronome Dist.;USA
The 40 Year Old Virgin;The 40 Year Old Virgin;19.8.2005;13 809;The Walt Disney Company Nordic;USA
Amityville Horror;Amityville Horror;12.8.2005;12 287;Scanbox Finland Oy;USA
Koti-ikävä;Koti-ikävä;12.8.2005;23 523;Finnkino Oy;SUOMI
Valiant;Valiant;12.8.2005;35 174;Scanbox Finland Oy;ENGLANTI
Kiukun parempi puoli;The Upside of Anger;5.8.2005;14 975;Scanbox Finland Oy;USA
Kuolleiden valtakunta;Land of the Dead;5.8.2005;7 362;The Walt Disney Company Nordic;USA
Linnunradan käsikirja liftareille;The Hitchhiker's Guide to The Galaxy;5.8.2005;79 554;The Walt Disney Company Nordic;ENGLANTI-USA
Moolaadé - suojelus;Moolaadé;5.8.2005;898;Kamras Film Group;SENGAL
Tekstiilit;Les Textiles;5.8.2005;1 162;Cinema Mondo Oy;RANSKA
Fantastic Four;Fantastic Four;29.7.2005;63 379;FS Film Oy;USA
Tumma vesi;Dark Water;29.7.2005;7 188;The Walt Disney Company Nordic;USA
Sin City;Sin City;22.7.2005;99 484;FS Film Oy;USA
Batman Begins;Batman Begins;15.7.2005;137 987;Sandrew Metronome Dist.;USA
Toolbox Murders;Toolbox Murders;15.7.2005;130;Future Film;USA
V*tun neljätoista;Fjorton Suger;15.7.2005;13 421;Bio Rex Cinemas;RUOTSI
Ilo on kokonaan minun;Tout le plaisir est pour moi;8.7.2005;4 676;Cinema Mondo Oy;RANSKA
Rakkaus meno&paluu;5 x 2;8.7.2005;7 166;Future Film;RANSKA
Sahara;Sahara;8.7.2005;24 125;Nordisk Film Theatrical Distribution Oy;USA
A Lot Like Love;A Lot Like Love;1.7.2005;14 847;The Walt Disney Company Nordic;USA
Maailmojen sota;War of The Worlds;29.6.2005;121 462;The Walt Disney Company Nordic;USA
Cursed;Cursed;26.6.2005;2 826;FS Film Oy;USA
Kung Fu Hustle;Kung Fu Hustle;17.6.2005;15 917;Nordisk Film Theatrical Distribution Oy;HONGKONG-KANADA
