Paikkakunta;Teatterinimi;Salit;Omistaja;Paikat;Osoite
Rovaniemi;MAXIM;Maxim 5;Bio Rex Cinemas Oy;34;Pekankatu 12, 96100 Rovaniemi
Saarijärvi ;KISAKINO;Kisakino;Saarijärven Pullistus ry;200;Sivulantie 11, 43100 Saarijärvi
Salo;BIO JÄNNÄ;Bio Jännä;Bio-Kuva ;429;Turuntie 5, 24100 Salo
Salo;BIO-SALO;Bio-Salo 1;Bio-Kuva;233;Turuntie 5, 24100 Salo
Salo;BIO-SALO;Bio-Salo 2;Bio-Kuva;83;Turuntie 5, 24100 Salo
Salo;LUMO;Lumo 1;Lumo-Movies Oy;135;Savipajankatu 2, 24260 Salo
Salo;LUMO;Lumo 2;Lumo-Movies Oy;51;Savipajankatu 2, 24260 Salo
Sastamala;BIO;Bio;Kinoset;122;Puistokatu 32, 38200 Sastamala
Savonlinna;KILLA;Killa;Savon Kinot Oy;164;Punkaharjuntie 3, 57130 Savonlinna
Savonlinna;OLAVI;Olavi;Savon Kinot Oy;200;Olavinkatu 51, 57100 Savonlinna
Savonlinna;KINO LUSTO;Kino Lusto;Savonlinnan kulttuuritoimi;138;Lustontie 1, 58450 Punkaharju
Seinäjoki;BIO MARILYN;Marilyn 1;Remamian Oy;298;Kalevankatu 14, 60100 Seinäjoki
Seinäjoki;BIO MARILYN;Marilyn 2;Remamian Oy;98;Kalevankatu 14, 60100 Seinäjoki
Seinäjoki;BIO MARILYN;Marilyn 3;Remamian Oy;62;Kalevankatu 14, 60100 Seinäjoki
Seinäjoki;MATIN-TUPA;Matin-Tupa;Elokuvateatteri Matin-Tupa;201;Puhelinkuja 4, 61400 Ylistaro
Sodankylä;LAPINSUU;Lapinsuu;Salin & Salin;265;Jäämerentie 17, 99600 Sodankylä
Somero ;BIO JUKOLA;Bio Jukola;Kinoset Oy;98;Jukolantie 4, Somero
Sotkamo;KINO VISIO;Kino Visio;Versova Puu ry;104;Salmelantie 6, 88600 Sotkamo
Suonenjoki;KINO RIO;Kino Rio;Suonenjoen  Elokuvateatteri Oy;169;Asemakatu 1, 77600 Suonenjoki
Suomussalmi;KINO RETIKKA;Kino Retikka;Kulttuuriosuuskunta Vimma;186;Jalonkatu 1, 89600 Suomussalmi
